,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,full_address
11389,12,1985,1,0,0,0,0,0,110,0,0,66,44,0,0,0,0,0,0,0,0,845 TAMPINES ST 83 Singapore
11390,12,1985,1,0,0,0,0,0,136,0,0,0,136,0,0,0,0,0,0,0,0,845 WOODLANDS ST 82 Singapore
11391,3,1989,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845 YISHUN ST 81 Singapore
11392,14,1994,1,0,0,0,0,0,54,0,0,0,1,53,0,0,0,0,0,0,0,846 JURONG WEST ST 81 Singapore
11393,19,1985,1,0,0,0,0,0,72,0,0,0,0,0,72,0,0,0,0,0,0,846 SIMS AVE Singapore
11394,12,1985,1,0,0,0,0,0,110,0,0,66,44,0,0,0,0,0,0,0,0,846 TAMPINES ST 82 Singapore
11395,12,1994,1,0,0,1,0,0,77,0,0,0,33,44,0,0,0,0,0,0,0,846 WOODLANDS AVE 4 Singapore
11396,4,1988,1,1,0,0,0,0,36,0,0,8,8,20,0,0,0,0,0,0,0,846 YISHUN RING RD Singapore
11397,5,1994,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846A WOODLANDS AVE 4 Singapore
11398,14,1994,1,1,0,0,0,0,65,0,0,0,26,39,0,0,0,0,0,0,0,847 JURONG WEST ST 81 Singapore
11399,12,1985,1,0,0,0,0,0,110,0,0,66,44,0,0,0,0,0,0,0,0,847 TAMPINES ST 83 Singapore
11400,12,1985,1,0,0,0,0,0,74,0,0,6,6,0,62,0,0,0,0,0,0,847 WOODLANDS ST 82 Singapore
11401,14,1994,1,0,0,0,0,0,65,0,0,0,26,39,0,0,0,0,0,0,0,848 JURONG WEST ST 81 Singapore
11402,4,1985,1,1,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,848 SIMS AVE Singapore
11403,12,1985,1,0,0,0,0,0,110,0,0,66,44,0,0,0,0,0,0,0,0,848 TAMPINES ST 82 Singapore
11404,12,1985,1,1,0,1,0,0,72,0,0,6,6,0,60,0,0,0,0,0,0,848 WOODLANDS ST 82 Singapore
11405,2,1988,1,1,0,0,0,0,9,0,0,2,0,7,0,0,0,0,0,0,0,848 YISHUN ST 81 Singapore
11406,5,1988,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,848A YISHUN ST 81 Singapore
11407,14,1994,1,0,0,0,0,0,54,0,0,0,1,53,0,0,0,0,0,0,0,849 JURONG WEST ST 81 Singapore
11408,4,1986,1,0,0,0,0,0,32,0,0,16,16,0,0,0,0,0,0,0,0,849 TAMPINES ST 83 Singapore
11409,12,1985,1,1,0,0,0,0,60,0,0,6,4,10,40,0,0,0,0,0,0,849 WOODLANDS ST 82 Singapore
11410,6,2002,1,1,0,0,0,0,28,0,0,28,0,0,0,0,0,0,0,0,0,849 YISHUN RING RD Singapore
11411,1,1977,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85 BEDOK NTH ST 4 Singapore
11412,10,1964,1,0,0,0,0,0,100,0,10,90,0,0,0,0,0,0,0,0,0,85 C'WEALTH CL Singapore
11413,10,1969,1,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,85 CIRCUIT RD Singapore
11414,7,2015,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85 DAWSON RD Singapore
11415,2,1971,1,1,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,85 LOR 4 TOA PAYOH Singapore
11416,2,1976,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85 MARINE PARADE CTRL Singapore
11417,3,2016,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85 PUNGGOL CTRL Singapore
11418,1,2005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85 REDHILL LANE Singapore
11419,30,2001,1,0,0,0,0,0,145,0,0,0,58,87,0,0,0,0,0,0,0,85 TELOK BLANGAH HTS Singapore
11420,11,1973,1,0,0,1,0,0,153,0,0,146,0,7,0,0,0,0,0,0,0,85 WHAMPOA DR Singapore
11421,1,2000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85A C'WEALTH CL Singapore
11422,22,1971,1,1,0,0,0,0,151,0,0,145,0,6,0,0,0,0,0,0,0,85A LOR 4 TOA PAYOH Singapore
11423,2,1999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85A WHAMPOA DR Singapore
11424,22,1971,1,0,0,0,0,0,155,0,0,154,0,1,0,0,0,0,0,0,0,85B LOR 4 TOA PAYOH Singapore
11425,22,1971,1,0,0,0,0,0,150,0,0,144,0,6,0,0,0,0,0,0,0,85C LOR 4 TOA PAYOH Singapore
11426,16,1995,1,0,0,0,0,0,55,0,0,0,0,0,55,0,0,0,0,0,0,850 HOUGANG CTRL Singapore
11427,14,1994,1,0,0,1,0,0,106,0,0,0,67,39,0,0,0,0,0,0,0,850 JURONG WEST ST 81 Singapore
11428,4,1985,1,0,0,0,0,0,32,0,0,16,16,0,0,0,0,0,0,0,0,850 TAMPINES ST 82 Singapore
11429,12,1985,1,0,0,0,0,0,62,0,0,6,4,10,42,0,0,0,0,0,0,850 WOODLANDS ST 82 Singapore
11430,12,1987,1,0,0,1,0,0,121,0,0,0,63,58,0,0,0,0,0,0,0,850 YISHUN ST 81 Singapore
11431,5,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850A HOUGANG CTRL Singapore
11432,16,1995,1,0,0,0,0,0,56,0,0,0,0,0,56,0,0,0,0,0,0,851 HOUGANG CTRL Singapore
11433,14,1994,1,1,0,0,0,0,119,0,0,0,79,40,0,0,0,0,0,0,0,851 JURONG WEST ST 81 Singapore
11434,12,1985,1,0,0,0,0,0,110,0,0,66,44,0,0,0,0,0,0,0,0,851 TAMPINES ST 83 Singapore
11435,11,1995,1,1,0,0,0,0,100,0,0,0,50,50,0,0,0,0,0,0,0,851 WOODLANDS ST 83 Singapore
11436,12,1987,1,0,0,0,0,0,88,0,0,0,48,40,0,0,0,0,0,0,0,851 YISHUN ST 81 Singapore
11437,16,1995,1,0,0,0,0,0,56,0,0,0,0,0,56,0,0,0,0,0,0,852 HOUGANG CTRL Singapore
11438,14,1994,1,1,0,1,0,0,117,0,0,0,78,39,0,0,0,0,0,0,0,852 JURONG WEST ST 81 Singapore
11439,12,1984,1,0,0,0,0,0,110,0,0,66,44,0,0,0,0,0,0,0,0,852 TAMPINES ST 82 Singapore
11440,10,1987,1,0,0,1,0,0,180,0,0,0,0,0,0,0,0,64,116,0,0,852 WOODLANDS ST 83 Singapore
11441,11,1987,1,0,0,1,0,0,120,0,0,60,60,0,0,0,0,0,0,0,0,852 YISHUN ST 81 Singapore
11442,16,1995,1,0,0,0,0,0,66,0,0,0,0,0,66,0,0,0,0,0,0,853 HOUGANG CTRL Singapore
